Poseidon, poseidon, https://www.trackico.io/ico/poseidon/, Upcoming, Charity, 3.9, null, null, 2018-05-12T00:00:00Z, 2018-06-12T00:00:00Z
Movement App, movement-app, https://www.trackico.io/ico/movement-app/, Closed, Games & Entertainment, 4.1, 2017-12-15T20:00:00Z, 2017-12-25T20:00:00Z, 2018-02-01T00:00:00Z, 2018-03-01T00:00:00Z
CoinLion, coinlion, https://www.trackico.io/ico/coinlion/, Closed, Platform, 4.8, null, null, 2017-12-18T00:00:00Z, 2018-02-25T00:00:00Z
envion, envion, https://www.trackico.io/ico/envion/, Trading, Cryptocurrency, 4.4, null, null, 2017-12-01T00:00:00Z, 2017-12-31T00:00:00Z
Lamden, lamden, https://www.trackico.io/ico/lamden/, Trading, Platform, 5.0, null, null, 2017-12-08T00:00:00Z, 2018-01-05T23:00:00Z
McFly.aero, mcflyaero, https://www.trackico.io/ico/mcflyaero/, Closed, Platform, 4.1, null, null, 2018-01-22T00:00:00Z, 2018-02-15T00:00:00Z
United Traders, united-traders, https://www.trackico.io/ico/united-traders/, Trading, Business, 4.4, 2017-11-01T00:00:00Z, 2017-11-30T00:00:00Z, 2017-11-30T00:00:00Z, 2017-12-24T00:00:00Z
Serenity, serenity, https://www.trackico.io/ico/serenity/, Closed, Trading, 4.3, null, null, 2018-01-25T00:00:00Z, 2018-03-07T23:59:59Z
UHUB, uhub, https://www.trackico.io/ico/uhub/, Closed, Business, 2.8, null, null, 2017-11-25T00:00:00Z, 2018-04-15T00:00:00Z
GIF by SOCIFI, gif-by-socifi, https://www.trackico.io/ico/gif-by-socifi/, Pre-Sale, Platform, 5.0, 2018-01-30T00:00:00Z, 2018-05-15T13:00:00Z, 2018-05-15T13:00:00Z, 2018-06-02T00:00:00Z
Giftz.io, giftzio, https://www.trackico.io/ico/giftzio/, Closed, Business, 3.9, null, null, 2017-11-24T00:00:00Z, 2018-02-22T00:00:00Z
VRBTC, vrbtc, https://www.trackico.io/ico/vrbtc/, Unknown, Cryptocurrency, 2.4, null, null, null, null
Nedviga, nedviga, https://www.trackico.io/ico/nedviga/, Closed, Trading, 3.5, null, null, 2018-03-01T00:00:00Z, 2018-03-31T00:00:00Z
Celsius, celsius, https://www.trackico.io/ico/celsius/, Closed, Finance, 4.8, 2018-03-01T00:00:00Z, 2018-03-15T00:00:00Z, 2018-03-15T00:00:00Z, 2018-03-23T00:00:00Z
Synthium Health, synthium-health, https://www.trackico.io/ico/synthium-health/, Closed, Platform, 5.0, null, null, 2017-11-27T14:00:00Z, 2018-02-28T16:00:00Z
Talenter, talenter, https://www.trackico.io/ico/talenter/, Closed, Platform, 3.1, null, null, 2018-02-15T00:00:00Z, 2018-04-06T00:00:00Z
Vectorspace, vectorspace, https://www.trackico.io/ico/vectorspace/, Closed, Cryptocurrency, 3.1, null, null, 2017-11-09T00:00:00Z, 2018-03-23T00:00:00Z
Setcoin, setcoin, https://www.trackico.io/ico/setcoin/, Closed, Platform, 2.4, null, null, 2017-11-01T00:00:00Z, 2018-02-01T00:00:00Z
Mira, mira, https://www.trackico.io/ico/mira/, Ongoing, Platform, 5.0, null, null, 2018-04-20T00:00:00Z, 2018-05-20T00:00:00Z
Fund Platform, fund-platform, https://www.trackico.io/ico/fund-platform/, Ongoing, Cryptocurrency, 4.4, 2017-12-10T12:00:00Z, 2017-12-25T00:00:00Z, 2018-04-03T00:00:00Z, 2018-05-04T00:00:00Z
Valorem Foundation, valorem-foundation, https://www.trackico.io/ico/valorem-foundation/, Closed, Platform, 4.4, null, null, 2017-12-15T00:00:00Z, 2018-03-30T00:00:00Z
Finom, finom, https://www.trackico.io/ico/finom/, Closed, Platform, 3.9, null, null, 2017-11-15T12:00:00Z, 2017-12-30T12:00:00Z
Luven Diagnostic, luven-diagnostic, https://www.trackico.io/ico/luven-diagnostic/, Closed, Health & Medicine, 4.3, 2017-12-12T12:00:00Z, 2017-12-29T00:00:00Z, 2018-01-15T12:00:00Z, 2018-02-28T00:00:00Z
Edgecoin, edgecoin, https://www.trackico.io/ico/edgecoin/, Closed, Cryptocurrency, 4.4, 2017-11-06T12:00:00Z, 2017-12-06T00:00:00Z, 2018-02-06T12:00:00Z, 2018-04-06T00:00:00Z
FintechFans, fintechfans, https://www.trackico.io/ico/fintechfans/, Closed, Other, 4.4, 2017-11-29T12:00:00Z, 2018-01-31T00:00:00Z, 2018-02-07T12:00:00Z, 2018-02-28T00:00:00Z
CEDEX, cedex, https://www.trackico.io/ico/cedex/, Closed, Platform, 4.4, 2018-03-16T10:00:00Z, 2018-03-17T10:00:00Z, 2018-03-17T10:00:00Z, 2018-04-14T10:00:00Z
AlchemyByte, alchemybyte, https://www.trackico.io/ico/alchemybyte/, Closed, Trading, 2.8, 2018-01-02T00:00:00Z, 2018-02-16T00:00:00Z, null, null
Rexpax, rexpax, https://www.trackico.io/ico/rexpax/, Closed, Cryptocurrency, 4.8, 2017-12-05T00:00:00Z, 2017-12-11T00:00:00Z, null, null
MyTrackNet, mytracknet, https://www.trackico.io/ico/mytracknet/, Closed, Connectivity, 3.1, 2017-11-28T11:00:00Z, 2017-12-22T11:00:00Z, 2017-11-28T11:00:00Z, 2017-12-22T11:00:00Z
LIVESHOW, liveshow, https://www.trackico.io/ico/liveshow/, Closed, Platform, 4.1, null, null, 2017-11-10T00:00:00Z, 2017-12-30T23:00:00Z
TraderStars.io, traderstarsio, https://www.trackico.io/ico/traderstarsio/, Closed, Other, 3.5, 2017-11-15T12:00:00Z, 2017-11-17T14:00:00Z, 2017-11-21T12:00:00Z, 2017-12-21T00:00:00Z
trade.io, tradeio, https://www.trackico.io/ico/tradeio/, Trading, Other, 4.4, 2017-11-07T12:00:00Z, 2017-11-25T00:00:00Z, 2017-11-28T12:00:00Z, 2017-12-15T00:00:00Z
A-TOKEN, a-token, https://www.trackico.io/ico/a-token/, Closed, Other, 2.8, null, null, 2017-10-10T12:00:00Z, 2017-12-15T00:00:00Z
Immune Coin, immune-coin, https://www.trackico.io/ico/immune-coin/, Closed, Other, 3.9, 2017-12-20T12:00:00Z, 2017-12-31T00:00:00Z, 2018-01-01T12:00:00Z, 2018-01-20T00:00:00Z
EMU, emu, https://www.trackico.io/ico/emu/, Closed, Other, 4.1, 2017-12-01T16:00:00Z, 2017-12-31T16:00:00Z, 2018-02-01T16:00:00Z, 2018-03-15T16:00:00Z
TrenderCoin, trendercoin, https://www.trackico.io/ico/trendercoin/, Closed, Other, 3.1, null, null, 2017-11-14T12:00:00Z, 2017-12-12T00:00:00Z
Bananacoin, bananacoin, https://www.trackico.io/ico/bananacoin/, Closed, Other, 3.1, null, null, 2017-11-29T12:00:00Z, 2017-12-30T00:00:00Z
FintruX, fintrux, https://www.trackico.io/ico/fintrux/, Trading, Finance, 4.6, 2017-12-07T19:00:00Z, 2017-12-21T19:00:00Z, 2018-02-07T19:00:00Z, 2018-02-21T19:00:00Z
Tetarise, tetarise, https://www.trackico.io/ico/tetarise/, Closed, Travel, 3.9, null, null, 2017-11-15T00:00:00Z, 2017-12-15T00:00:00Z
Bitok Dice, bitok-dice, https://www.trackico.io/ico/bitok-dice/, Closed, Other, 1.5, 2017-07-25T12:00:00Z, 2017-08-25T12:00:00Z, 2017-07-25T12:00:00Z, 2017-08-25T12:00:00Z
Tracor Network, tracor-network, https://www.trackico.io/ico/tracor-network/, Closed, Other, 0.7, null, null, 2017-08-21T12:00:00Z, 2017-09-24T12:00:00Z
TourCoin, tourcoin, https://www.trackico.io/ico/tourcoin/, Unknown, Travel, 1.7, null, null, null, null
Flowfeed, flowfeed, https://www.trackico.io/ico/flowfeed/, Unknown, Other, 1.1, null, null, null, null
Blockchain Neural System, blockchain-neural-system, https://www.trackico.io/ico/blockchain-neural-system/, Closed, Cryptocurrency, 2.6, null, null, 2017-11-01T12:00:00Z, 2017-11-30T12:00:00Z
ZABERcoin, zabercoin, https://www.trackico.io/ico/zabercoin/, Closed, Cryptocurrency, 3.9, null, null, 2017-12-01T03:12:00Z, 2018-01-16T11:00:00Z
AidCoin, aidcoin, https://www.trackico.io/ico/aidcoin/, Trading, Cryptocurrency, 4.6, null, null, 2018-01-16T00:00:00Z, 2018-02-01T00:00:00Z
Spacoin, spacoin, https://www.trackico.io/ico/spacoin/, Closed, Other, 3.1, 2017-11-06T12:00:00Z, 2017-11-12T00:00:00Z, 2017-11-13T12:00:00Z, 2017-11-26T00:00:00Z
FluzFluz, fluzfluz, https://www.trackico.io/ico/fluzfluz/, Trading, Platform, 4.3, null, null, 2018-01-18T12:00:00Z, 2018-02-22T00:00:00Z
BenjaCoin, benjacoin, https://www.trackico.io/ico/benjacoin/, Unknown, Business, 1.9, null, null, null, null
Synapse Market, synapse-market, https://www.trackico.io/ico/synapse-market/, Closed, Other, 2.4, null, null, 2017-10-21T23:00:00Z, 2017-11-20T23:00:00Z
GraphGrail Ai, graphgrail-ai, https://www.trackico.io/ico/graphgrail-ai/, Ongoing, Platform, 4.3, null, null, 2018-02-19T12:00:00Z, 2018-05-25T12:00:00Z
AC, ac, https://www.trackico.io/ico/ac/, Closed, Other, 2.0, null, null, 2017-08-12T12:00:00Z, 2017-09-11T12:00:00Z
Prosume Energy, prosume-energy, https://www.trackico.io/ico/prosume-energy/, Unknown, Transport, 3.5, null, null, null, null
Bank Of Memories, bank-of-memories, https://www.trackico.io/ico/bank-of-memories/, Ongoing, Cryptocurrency, 3.7, null, null, 2017-11-20T00:00:00Z, 2018-06-01T00:00:00Z
SLOGN Logistics, slogn-logistics, https://www.trackico.io/ico/slogn-logistics/, Closed, Transport, 3.9, null, null, 2017-07-25T18:00:00Z, 2017-08-01T17:55:59Z
ArtEx Global, artex-global, https://www.trackico.io/ico/artex-global/, Closed, Platform, 4.1, null, null, 2017-12-05T10:00:00Z, 2017-12-24T10:00:00Z
CCCoin LLC, cccoin-llc, https://www.trackico.io/ico/cccoin-llc/, Closed, Other, 2.0, null, null, 2017-10-21T00:00:00Z, 2018-01-21T23:00:00Z
300cubits, 300cubits, https://www.trackico.io/ico/300cubits/, Ongoing, Cryptocurrency, 4.1, null, null, 2018-04-12T00:00:00Z, 2018-05-12T00:00:00Z
FinShi, finshi, https://www.trackico.io/ico/finshi/, Closed, Trading, 4.1, null, null, 2017-09-06T12:00:00Z, 2017-10-06T12:00:00Z
0x, 0x, https://www.trackico.io/ico/0x/, Trading, Platform, 4.3, null, null, 2017-08-15T00:00:00Z, 2017-08-16T17:00:00Z
ICOS, icos, https://www.trackico.io/ico/icos/, Trading, Cryptocurrency, 3.5, null, null, 2017-08-09T12:00:00Z, 2017-09-15T12:00:00Z
Hedge Token, hedge-token, https://www.trackico.io/ico/hedge-token/, Trading, Cryptocurrency, 3.9, null, null, 2017-09-15T13:00:00Z, 2017-10-15T13:00:00Z
Adelphoi, adelphoi, https://www.trackico.io/ico/adelphoi/, Trading, Platform, 4.4, null, null, 2017-05-01T12:00:00Z, 2017-05-31T12:00:00Z
betboxAI, betboxai, https://www.trackico.io/ico/betboxai/, Unknown, Games & Entertainment, 3.3, null, null, null, null
Hagglin, hagglin, https://www.trackico.io/ico/hagglin/, Closed, Other, 3.9, null, null, 2017-10-31T14:00:00Z, 2017-11-30T14:00:00Z
Balehubucks, balehubucks, https://www.trackico.io/ico/balehubucks/, Closed, Other, 3.7, null, null, 2018-02-01T00:00:00Z, 2018-03-31T23:00:00Z
The Advertising Currency, the-advertising-currency, https://www.trackico.io/ico/the-advertising-currency/, Unknown, Business, 2.4, null, null, null, null
SRG, srg, https://www.trackico.io/ico/srg/, Unknown, Games & Entertainment, 3.7, null, null, null, null
Number One Dime, number-one-dime, https://www.trackico.io/ico/number-one-dime/, Closed, Cryptocurrency, 2.6, null, null, 2017-11-13T12:00:00Z, 2017-12-31T00:00:00Z
Gluon, gluon, https://www.trackico.io/ico/gluon/, Unknown, Transport, 3.7, null, null, null, null
DolphinBI, dolphinbi, https://www.trackico.io/ico/dolphinbi/, Unknown, Business, 3.3, null, null, null, null
Root Project, root-project, https://www.trackico.io/ico/root-project/, Closed, Cryptocurrency, 4.3, 2017-07-15T00:00:00Z, 2017-07-28T23:59:59Z, 2018-04-10T00:00:00Z, 2018-04-13T00:00:00Z
Universa, universa, https://www.trackico.io/ico/universa/, Trading, Platform, 3.3, null, null, null, null
Detector Token, detector-token, https://www.trackico.io/ico/detector-token/, Closed, Other, 2.2, null, null, 2017-08-20T00:00:00Z, 2017-09-20T00:00:00Z
WishFinance, wishfinance, https://www.trackico.io/ico/wishfinance/, Closed, Platform, 4.3, null, null, 2017-10-27T12:00:00Z, 2017-12-07T23:00:00Z
Modum, modum, https://www.trackico.io/ico/modum/, Trading, Other, 3.5, null, null, 2017-09-01T03:00:00Z, 2017-09-22T03:00:00Z
Crazycoin, crazycoin, https://www.trackico.io/ico/crazycoin/, Unknown, Other, 1.1, null, null, null, null
Change, change, https://www.trackico.io/ico/change/, Trading, Finances, 4.3, null, null, 2017-09-16T15:00:00Z, 2017-10-16T03:00:00Z
Centra Tech, centra-tech, https://www.trackico.io/ico/centra-tech/, Trading, Other, 0.0, null, null, 2017-08-04T00:00:00Z, 2017-10-04T23:59:59Z
CryptoFund, cryptofund, https://www.trackico.io/ico/cryptofund/, Closed, Platform, 3.0, null, null, 2017-09-29T23:00:00Z, 2017-10-20T00:00:00Z
MASS, mass, https://www.trackico.io/ico/mass/, Closed, Trading, 3.3, null, null, 2017-07-12T18:00:00Z, 2017-07-26T18:00:00Z
Crypviser, crypviser, https://www.trackico.io/ico/crypviser/, Trading, Software, 3.5, null, null, 2017-05-20T15:00:00Z, 2017-07-04T13:00:00Z
Mobius Network, mobius-network, https://www.trackico.io/ico/mobius-network/, Trading, Internet, 3.7, null, null, 2017-11-08T12:00:00Z, 2017-12-08T12:00:00Z
Unikrn, unikrn, https://www.trackico.io/ico/unikrn/, Closed, Fitness, 3.7, null, null, 2017-09-22T03:00:00Z, 2017-10-01T03:00:00Z
FuckToken, fucktoken, https://www.trackico.io/ico/fucktoken/, Trading, Cryptocurrency, 2.0, null, null, null, null
injii Access Coin, injii-access-coin, https://www.trackico.io/ico/injii-access-coin/, Closed, Social Media, 5.0, null, null, 2017-11-20T00:00:00Z, 2017-12-20T00:00:00Z
Nousplatform, nousplatform, https://www.trackico.io/ico/nousplatform/, Upcoming, Cryptocurrency, 4.6, 2018-05-20T11:00:00Z, 2018-06-20T11:00:00Z, null, null
Token Stub, token-stub, https://www.trackico.io/ico/token-stub/, Closed, Other, 3.0, null, null, 2017-08-23T08:00:00Z, 2017-10-03T08:00:00Z
Globitex, globitex, https://www.trackico.io/ico/globitex/, Closed, Platform, 4.8, 2018-01-10T00:00:00Z, 2018-02-09T00:00:00Z, 2018-02-10T00:00:00Z, 2018-03-12T00:00:00Z
Mysterium Network, mysterium-network, https://www.trackico.io/ico/mysterium-network/, Trading, Software, 3.5, null, null, 2017-05-30T15:00:00Z, 2017-05-30T23:00:00Z
Enigma, enigma, https://www.trackico.io/ico/enigma/, Trading, Trading, 4.1, null, null, 2017-09-11T12:00:00Z, 2017-09-11T13:00:00Z
SmartOne, smartone, https://www.trackico.io/ico/smartone/, Unknown, Business, 3.9, null, null, null, null
Science Blockchain, science-blockchain, https://www.trackico.io/ico/science-blockchain/, Closed, Business, 3.1, null, null, 2017-10-02T12:00:00Z, 2017-11-23T02:00:00Z
Rasputin, rasputin, https://www.trackico.io/ico/rasputin/, Trading, Games & Entertainment, 3.3, null, null, 2017-07-20T00:00:01Z, 2017-08-29T04:00:00Z
Ether, ether, https://www.trackico.io/ico/ether/, Trading, Other, 0.0, null, null, 2014-07-22T00:00:00Z, 2014-09-02T00:00:00Z
Ignis, ignis, https://www.trackico.io/ico/ignis/, Trading, Other, 3.5, null, null, 2017-09-09T03:00:00Z, 2017-10-21T03:00:00Z
Abab DAO, abab-dao, https://www.trackico.io/ico/abab-dao/, Closed, Other, 1.9, null, null, 2017-08-15T12:00:00Z, 2017-09-15T12:00:00Z
Indigo Racing Organization, indigo-racing-organization, https://www.trackico.io/ico/indigo-racing-organization/, Unknown, Other, 1.3, null, null, null, null
Silent Notary, silent-notary, https://www.trackico.io/ico/silent-notary/, Closed, Other, 4.3, null, null, 2017-08-21T12:00:00Z, 2017-09-18T12:00:00Z
Sphre AIR, sphre-air, https://www.trackico.io/ico/sphre-air/, Trading, Platform, 2.8, null, null, 2017-06-01T19:00:00Z, 2017-06-30T19:00:00Z
LAToken, latoken, https://www.trackico.io/ico/latoken/, Trading, Trading, 4.6, null, null, 2017-08-22T00:00:00Z, 2017-10-11T00:00:00Z
Avalon, avalon, https://www.trackico.io/ico/avalon/, Closed, Platform, 4.3, null, null, 2017-08-25T03:00:00Z, 2017-09-15T03:00:00Z
Zap, zap, https://www.trackico.io/ico/zap/, Closed, Cryptocurrency, 3.9, null, null, 2017-10-21T00:00:00Z, 2017-11-20T00:00:00Z
Royal Kingdom Enterprise, royal-kingdom-enterprise, https://www.trackico.io/ico/royal-kingdom-enterprise/, Trading, Cryptocurrency, 4.4, null, null, 2017-07-11T02:00:00Z, 2017-08-10T23:59:59Z
BrickBlock, brickblock, https://www.trackico.io/ico/brickblock/, Upcoming, Finances, 4.6, null, null, 2018-05-09T13:00:00Z, 2018-05-16T13:00:00Z
Chimaera, chimaera, https://www.trackico.io/ico/chimaera/, Pre-Sale, Games & Entertainment, 5.0, 2018-03-23T09:00:00Z, 2018-05-18T09:00:00Z, null, null
Synapse, synapse, https://www.trackico.io/ico/synapse/, Closed, Platform, 4.8, null, null, 2018-02-12T00:00:00Z, 2018-03-12T00:00:00Z
Status Network, status-network, https://www.trackico.io/ico/status-network/, Trading, Software, 3.5, null, null, 2017-06-20T18:00:00Z, 2017-06-21T18:00:00Z
GazeCoin, gazecoin, https://www.trackico.io/ico/gazecoin/, Closed, Games & Entertainment, 4.3, null, null, 2017-12-10T00:00:00Z, 2017-12-21T00:00:00Z
eSports, esports, https://www.trackico.io/ico/esports/, Unknown, Other, 3.3, null, null, null, null
Bankera, bankera, https://www.trackico.io/ico/bankera/, Closed, Finances, 3.7, null, null, 2017-11-27T00:00:00Z, 2018-02-27T00:00:00Z
PlusCoin, pluscoin, https://www.trackico.io/ico/pluscoin/, Closed, Cryptocurrency, 3.1, null, null, 2017-09-26T00:00:00Z, 2017-10-10T00:00:00Z
Blackmoon Crypto, blackmoon-crypto, https://www.trackico.io/ico/blackmoon-crypto/, Trading, Cryptocurrency, 4.1, null, null, 2017-09-12T03:00:00Z, 2017-09-20T03:00:00Z
Lordmancer II, lordmancer-ii, https://www.trackico.io/ico/lordmancer-ii/, Closed, Games & Entertainment, 4.3, null, null, 2017-11-07T06:00:00Z, 2017-12-20T06:00:00Z
REGA Risk Sharing, rega-risk-sharing, https://www.trackico.io/ico/rega-risk-sharing/, Closed, Platform, 4.1, null, null, 2017-11-15T11:00:00Z, 2017-12-25T11:00:00Z
Robo Advisor Coin, robo-advisor-coin, https://www.trackico.io/ico/robo-advisor-coin/, Closed, Cryptocurrency, 3.3, null, null, 2017-11-24T00:00:00Z, 2017-12-24T00:00:00Z
LinkerCoin, linkercoin, https://www.trackico.io/ico/linkercoin/, Trading, Cryptocurrency, 5.0, 2017-10-21T00:00:00Z, 2017-11-24T00:00:00Z, 2017-10-21T12:00:00Z, 2017-12-31T12:00:00Z
Proof Token, proof-token, https://www.trackico.io/ico/proof-token/, Closed, Cryptocurrency, 4.6, null, null, 2017-11-01T22:00:00Z, 2017-11-30T12:00:00Z
1World, 1world, https://www.trackico.io/ico/1world/, Trading, Platform, 4.3, null, null, 2017-10-05T12:00:00Z, 2017-11-06T12:00:00Z
Vista Fintech, vista-fintech, https://www.trackico.io/ico/vista-fintech/, Closed, Trading, 2.6, null, null, 2017-08-01T12:00:00Z, 2017-08-31T12:00:00Z
QASH by Quoine, qash-by-quoine, https://www.trackico.io/ico/qash-by-quoine/, Trading, Platform, 4.1, null, null, 2017-11-06T08:00:00Z, 2017-11-08T12:00:00Z
TIES.NETWORK, tiesnetwork, https://www.trackico.io/ico/tiesnetwork/, Trading, Business, 4.3, null, null, 2017-09-21T15:00:00Z, 2017-10-12T15:00:00Z
Hero, hero, https://www.trackico.io/ico/hero/, Closed, Games & Entertainment, 4.3, null, null, 2017-09-14T14:00:00Z, 2017-10-14T14:00:00Z
DAO Playmarket 2.0, dao-playmarket-20, https://www.trackico.io/ico/dao-playmarket-20/, Closed, Software, 3.7, null, null, 2017-11-08T00:00:00Z, 2017-12-29T23:00:00Z
Gilgam, gilgam, https://www.trackico.io/ico/gilgam/, Closed, Games & Entertainment, 3.9, null, null, 2017-06-20T14:00:00Z, 2017-07-18T14:00:00Z
INS, ins, https://www.trackico.io/ico/ins/, Trading, Platform, 4.6, null, null, 2017-12-04T11:00:00Z, 2017-12-25T11:00:00Z
Rialto, rialto, https://www.trackico.io/ico/rialto/, Trading, Business, 3.7, null, null, 2017-06-26T03:00:00Z, 2017-07-04T00:00:00Z
CanYa, canya, https://www.trackico.io/ico/canya/, Closed, Platform, 4.4, null, null, 2017-11-26T10:29:59Z, 2017-12-26T10:29:59Z
Soma, soma, https://www.trackico.io/ico/soma/, Trading, Trading, 4.1, null, null, 2017-09-27T12:00:00Z, 2017-11-14T12:00:00Z
Cloud With Token, cloud-with-token, https://www.trackico.io/ico/cloud-with-token/, Trading, Other, 3.5, null, null, 2017-08-25T12:00:00Z, 2017-09-24T12:00:00Z
BANCOR Network, bancor-network, https://www.trackico.io/ico/bancor-network/, Trading, Platform, 4.6, null, null, 2017-06-12T17:00:00Z, 2017-06-12T22:00:00Z
Geens, geens, https://www.trackico.io/ico/geens/, Unknown, Platform, 3.7, null, null, null, null
Worldwide Asset eXchange, worldwide-asset-exchange, https://www.trackico.io/ico/worldwide-asset-exchange/, Trading, Platform, 4.4, null, null, 2017-11-15T12:00:00Z, 2017-12-15T12:00:00Z
EventChain, eventchain, https://www.trackico.io/ico/eventchain/, Trading, Other, 4.1, null, null, 2017-09-13T19:00:00Z, 2017-10-14T19:00:00Z
The Opakeco Foundation, the-opakeco-foundation, https://www.trackico.io/ico/the-opakeco-foundation/, Closed, Other, 3.7, null, null, 2017-09-01T12:00:00Z, 2017-09-08T12:00:00Z
BIG, big, https://www.trackico.io/ico/big/, Ongoing, Platform, 3.5, null, null, 2017-10-12T00:00:00Z, 2018-11-01T00:00:00Z
Hubii Network, hubii-network, https://www.trackico.io/ico/hubii-network/, Trading, Social Media, 3.7, null, null, 2017-08-24T12:00:00Z, 2017-09-07T14:00:00Z
Gameflip, gameflip, https://www.trackico.io/ico/gameflip/, Closed, Games & Entertainment, 4.3, null, null, 2017-12-04T22:00:00Z, 2018-01-04T19:00:00Z
GeoFounders, geofounders, https://www.trackico.io/ico/geofounders/, Closed, Platform, 3.7, null, null, 2017-06-25T19:45:00Z, 2017-07-27T19:45:00Z
Speed Mining Service, speed-mining-service, https://www.trackico.io/ico/speed-mining-service/, Trading, Platform, 3.0, null, null, 2017-10-27T05:00:00Z, 2018-01-31T14:59:00Z
SONM Network, sonm-network, https://www.trackico.io/ico/sonm-network/, Trading, Software, 3.7, null, null, 2017-06-25T12:00:00Z, 2017-07-25T12:00:00Z
B2BX, b2bx, https://www.trackico.io/ico/b2bx/, Trading, Platform, 3.7, null, null, 2017-09-13T12:00:00Z, 2017-09-29T12:00:00Z
Science Power and Research Coin, science-power-and-research-coin, https://www.trackico.io/ico/science-power-and-research-coin/, Closed, Other, 3.1, null, null, 2017-10-01T00:00:00Z, 2017-10-31T23:59:59Z
Auctus, auctus, https://www.trackico.io/ico/auctus/, Trading, Finance, 5.0, 2017-10-03T00:00:00Z, 2017-10-06T00:00:00Z, 2018-04-10T14:00:00Z, 2018-04-17T08:00:00Z
TewTew, tewtew, https://www.trackico.io/ico/tewtew/, Unknown, Platform, 1.1, null, null, null, null
Bcshop, bcshop, https://www.trackico.io/ico/bcshop/, Closed, Business, 4.4, null, null, 2017-12-18T12:00:00Z, 2018-01-31T12:00:00Z
Wireline, wireline, https://www.trackico.io/ico/wireline/, Closed, Platform, 3.3, null, null, 2017-10-16T12:00:00Z, 2017-10-23T12:00:00Z
CHEX, chex, https://www.trackico.io/ico/chex/, Closed, Platform, 2.4, null, null, 2017-08-25T12:00:00Z, 2017-10-29T12:00:00Z
Casagram, casagram, https://www.trackico.io/ico/casagram/, Unknown, Internet, 3.5, null, null, null, null
KickCity, kickcity, https://www.trackico.io/ico/kickcity/, Ongoing, Games & Entertainment, 4.6, null, null, 2018-03-01T12:00:00Z, 2018-05-06T12:00:00Z
Benja, benja, https://www.trackico.io/ico/benja/, Closed, Other, 2.0, null, null, 2017-08-01T13:00:00Z, 2017-09-01T13:00:00Z
ChronoLogic, chronologic, https://www.trackico.io/ico/chronologic/, Trading, Cryptocurrency, 3.5, null, null, 2017-08-28T03:00:00Z, 2017-08-29T03:00:00Z
Honestis Network, honestis-network, https://www.trackico.io/ico/honestis-network/, Closed, Internet, 4.1, 2017-07-16T00:00:00Z, 2017-08-06T23:59:59Z, 2017-09-17T12:00:00Z, 2017-12-10T12:00:00Z
Karma, karma, https://www.trackico.io/ico/karma/, Trading, Trading, 3.7, null, null, 2017-10-21T12:00:00Z, 2017-11-21T12:00:00Z
onG.social, ongsocial, https://www.trackico.io/ico/ongsocial/, Unknown, Social Media, 3.0, null, null, null, null
iBuildApp, ibuildapp, https://www.trackico.io/ico/ibuildapp/, Closed, Platform, 4.4, null, null, 2017-11-07T00:00:00Z, 2018-01-15T23:00:00Z
Money Rebel, money-rebel, https://www.trackico.io/ico/money-rebel/, Upcoming, Finance, 4.3, null, null, 2018-05-08T13:00:00Z, 2018-05-15T13:00:00Z
ParagonCoin, paragoncoin, https://www.trackico.io/ico/paragoncoin/, Trading, Platform, 4.6, null, null, 2017-09-15T00:00:00Z, 2017-10-15T00:00:00Z
iXledger, ixledger, https://www.trackico.io/ico/ixledger/, Trading, Other, 3.3, null, null, 2017-07-11T00:00:00Z, 2017-07-13T00:00:00Z
Pangea, pangea, https://www.trackico.io/ico/pangea/, Closed, Platform, 5.0, null, null, 2018-02-28T12:00:00Z, 2018-04-25T15:00:00Z
GUTS Tickets, guts-tickets, https://www.trackico.io/ico/guts-tickets/, Trading, Platform, 3.7, null, null, 2017-11-15T12:00:00Z, 2017-12-13T12:00:00Z
OPEN, open, https://www.trackico.io/ico/open/, Closed, Platform, 4.6, null, null, 2018-02-22T12:00:00Z, 2018-03-15T12:00:00Z
Nexus Social Network, nexus-social-network, https://www.trackico.io/ico/nexus-social-network/, Trading, Social Media, 4.1, 2017-07-28T12:00:00Z, 2017-08-07T00:00:00Z, 2017-08-17T01:00:00Z, 2017-09-15T01:00:00Z
Magnum Link, magnum-link, https://www.trackico.io/ico/magnum-link/, Unknown, Cryptocurrency, 3.1, null, null, null, null
Javvy Crypto Solution, javvy-crypto-solution, https://www.trackico.io/ico/javvy-crypto-solution/, Closed, Other, 4.4, null, null, 2017-11-01T00:00:00Z, 2017-11-15T00:00:00Z
PerksCoin, perkscoin, https://www.trackico.io/ico/perkscoin/, Closed, Finances, 3.5, null, null, 2017-11-25T00:00:00Z, 2018-02-28T00:00:00Z
Graft, graft, https://www.trackico.io/ico/graft/, Closed, Cryptocurrency, 4.3, null, null, 2018-01-18T12:00:00Z, 2018-02-18T12:00:00Z
MITO, mito, https://www.trackico.io/ico/mito/, Closed, Business, 4.1, null, null, 2017-09-11T00:00:00Z, 2017-10-31T00:00:00Z
Playkey, playkey, https://www.trackico.io/ico/playkey/, Trading, Games & Entertainment, 3.7, null, null, 2017-11-01T08:00:00Z, 2017-12-01T08:00:00Z
